id,make,model,currency,price,millage,year,promoted,sold,created_on,dealer
21695127705558958,Porsche,Cayenne,BGN,70000,195394,2017,true,true,2023-10-27,DEALER
11687266727484248,VW,Sharan,BGN,34300,195600,2018,true,true,2023-10-27,DEALER
11697513567623683,Audi,Rs6,EUR,103000,92000,2020,true,true,2023-10-27,DEALER
11692779190680323,Audi,S5,BGN,27000,222522,2010,true,true,2023-10-27,DEALER
11645184315787218,BMW,318,BGN,12199,200000,2011,true,true,2023-10-27,DEALER
21694144146701127,BMW,X1,BGN,16800,165000,2011,true,true,2023-10-27,DEALER
21687107768040965,BMW,X1,BGN,20500,238000,2011,true,true,2023-10-27,DEALER
11694017233127077,Chevrolet,Camaro,BGN,37000,94614,2016,true,true,2023-10-27,DEALER
11697283379321123,Chevrolet,Camaro,BGN,54888,63711,2018,true,true,2023-10-27,DEALER
11695740158766051,Chrysler,Voyager,BGN,5900,199890,2007,true,true,2023-10-27,DEALER
11698078836195212,Citroen,C3,EUR,8250,78000,2018,true,true,2023-10-27,DEALER
11693484724959396,Citroen,Nemo,BGN,0,144000,2012,true,true,2023-10-27,DEALER
11688998758313049,Fiat,Doblo,BGN,4999,264000,2004,true,true,2023-10-27,DEALER
21689947794037335,Ford,Ranger,BGN,17700,82000,2009,true,true,2023-10-27,DEALER
21696534339852462,Gmc,Sierra,BGN,88000,389,2023,true,true,2023-10-27,DEALER
11691841558742951,Peugeot,208,BGN,11199,197000,2015,true,false,2023-10-27,DEALER
11691841558742951,Peugeot,208,BGN,11199,197000,2015,true,false,2023-10-27,DEALER
11697995496809748,VW,Polo,BGN,23660,94914,2020,true,false,2023-10-27,DEALER
11695128103650019,Audi,A6,BGN,34700,192000,2015,true,false,2023-10-27,DEALER
11691843993350264,Mercedes-Benz,S,BGN,4499,260000,2000,true,false,2023-10-27,DEALER
21698392969852130,Audi,Q5,BGN,20800,175000,2012,true,false,2023-10-27,DEALER
11693828474903813,Mercedes-Benz,CLS,BGN,49490,218000,2015,true,false,2023-10-27,DEALER
11691842595360641,Citroen,C3,BGN,8899,167000,2014,true,false,2023-10-27,DEALER
11691839647388127,Audi,A3,BGN,7799,220000,2006,true,false,2023-10-27,DEALER
11691843444940344,Alfa,Romeo,BGN,4499,304000,2006,true,false,2023-10-27,DEALER
11659519371864532,BMW,535,BGN,27000,250000,2013,true,false,2023-10-27,DEALER
21698391955243892,Mini,Countryman,BGN,55900,59541,2019,true,false,2023-10-27,DEALER
11676303170123913,Peugeot,508,BGN,13999,159000,2013,true,false,2023-10-27,DEALER
21698391641778106,Alfa,Romeo,BGN,52300,95460,2018,true,false,2023-10-27,DEALER
11696237520989793,Skoda,Octavia,BGN,30999,220000,2020,true,false,2023-10-27,DEALER
21694117929548629,Mercedes-Benz,ML,BGN,40999,207000,2016,true,false,2023-10-27,DEALER
11696511347634134,Mercedes-Benz,E,BGN,22500,225000,2011,true,false,2023-10-27,DEALER
11696660041853940,Mercedes-Benz,E,BGN,22000,221000,2011,true,false,2023-10-27,DEALER
11697908343816903,Mercedes-Benz,E,BGN,55000,187000,2020,true,false,2023-10-27,DEALER
11697545510380789,Mercedes-Benz,E,BGN,43500,178000,2017,true,false,2023-10-27,DEALER
11693160178785893,Mercedes-Benz,C,BGN,34000,178000,2016,true,false,2023-10-27,DEALER
11695249634082520,Audi,A3,BGN,11800,196450,2008,false,true,2023-10-27,PRIVATE
11695249634082520,Audi,A3,BGN,11800,196450,2008,false,true,2023-10-27,PRIVATE
11697007572142500,Audi,A3,BGN,22000,199500,2015,false,true,2023-10-27,PRIVATE
11694940802987999,Audi,A4,BGN,7800,236500,2006,false,true,2023-10-27,PRIVATE
11697384763316327,Audi,A5,BGN,39999,154000,2016,false,true,2023-10-27,PRIVATE
11695375809078231,Audi,A6,BGN,9500,291100,2005,false,true,2023-10-27,PRIVATE
11694524352815804,Audi,A6,BGN,19400,391313,2011,false,true,2023-10-27,PRIVATE
21692764849991399,Audi,Q7,BGN,77000,98000,2017,false,true,2023-10-27,PRIVATE
11690785518764817,Audi,S5,BGN,86700,54000,2018,false,true,2023-10-27,PRIVATE
11694802400357808,BMW,328,BGN,5800,271000,1999,false,true,2023-10-27,PRIVATE
11696441293617198,BMW,525,BGN,7200,270000,2002,false,true,2023-10-27,PRIVATE
11692884265788266,BMW,730,BGN,11299,270000,2004,false,true,2023-10-27,PRIVATE
11695839248013525,BMW,740,BGN,36000,225000,2011,false,true,2023-10-27,PRIVATE
21695628667539112,BMW,X3,BGN,8000,223134,2006,false,true,2023-10-27,PRIVATE
21688236517394886,BMW,X4,BGN,89000,74638,2019,false,true,2023-10-27,PRIVATE
21696080975306892,BMW,X5,BGN,23999,252000,2008,false,true,2023-10-27,PRIVATE
11675860386766102,Chrysler,Gr.voyager,BGN,6999,251000,2006,false,true,2023-10-27,PRIVATE
11680868231119185,Dacia,Dokker,BGN,21599,33453,2021,false,true,2023-10-27,PRIVATE
21697719773384696,Dacia,Duster,BGN,15500,117700,2014,false,true,2023-10-27,PRIVATE
11696599894469619,Dacia,Lodgy,BGN,9500,240000,2012,false,true,2023-10-27,PRIVATE
11696696309471818,Fiat,500,BGN,9799,103756,2010,false,true,2023-10-27,PRIVATE
11698342079742926,VW,Passat,BGN,33000,214600,2016,true,false,2023-10-27,PRIVATE
11698342079742926,VW,Passat,BGN,33000,214600,2016,true,false,2023-10-27,PRIVATE
11698341080593485,Audi,A5,BGN,16800,320000,2008,true,false,2023-10-27,PRIVATE
11698073210114075,BMW,320,BGN,11500,230000,2005,true,false,2023-10-27,PRIVATE
11693918059264101,Peugeot,407,BGN,4000,165000,2004,true,false,2023-10-27,PRIVATE
11698337365333014,Audi,A8,BGN,57699,98750,2015,true,false,2023-10-27,PRIVATE
21697918185184588,SsangYong,Rexton,BGN,39980,83000,2018,true,false,2023-10-27,PRIVATE
21697132894887824,Audi,Q5,BGN,22300,203330,2013,true,false,2023-10-27,PRIVATE
21696603837255670,Honda,Cr-v,BGN,16999,244000,2008,true,false,2023-10-27,PRIVATE
11671118831830934,Audi,A6,BGN,37888,258000,2013,true,false,2023-10-27,PRIVATE
21698330550410464,Hyundai,IX35,BGN,21000,185000,2012,true,false,2023-10-27,PRIVATE
21698330975138709,Jeep,Grand,BGN,83999,107000,2016,true,false,2023-10-27,PRIVATE
11698329767173964,Honda,Accord,BGN,65000,15455,2020,true,false,2023-10-27,PRIVATE
21694791892902321,Audi,Q3,BGN,34500,120000,2016,true,false,2023-10-27,PRIVATE
21697292779800232,VW,Tiguan,BGN,44500,126000,2017,true,false,2023-10-27,PRIVATE
11698326677339826,Audi,A4,BGN,18900,257000,2010,true,false,2023-10-27,PRIVATE
21687962335894563,Mitsubishi,Outlander,BGN,76900,18900,2022,true,false,2023-10-27,PRIVATE
21690220878538633,Toyota,Rav4,EUR,7500,206000,2011,true,false,2023-10-27,PRIVATE
21698323385833448,BMW,X6,BGN,31900,330000,2011,true,false,2023-10-27,PRIVATE
21698322352768936,Hyundai,Santa,BGN,7500,225000,2006,true,false,2023-10-27,PRIVATE
11697092002959274,Audi,A6,BGN,42999,202000,2016,true,false,2023-10-27,PRIVATE
11689954023675556,Honda,Civic,BGN,8970,139245,2007,true,true,2023-10-27,DEALER
11689954023675556,Honda,Civic,BGN,8970,139245,2007,true,true,2023-10-27,DEALER
21682022932198113,Honda,Cr-v,BGN,60500,10453,2022,true,true,2023-10-27,DEALER
21694293562391946,Honda,Cr-v,BGN,0,250000,2006,true,true,2023-10-27,DEALER
11692126962502672,Hyundai,I30,BGN,7500,188000,2010,true,true,2023-10-27,DEALER
11694797086363441,Hyundai,I30,BGN,12800,168000,2012,true,true,2023-10-27,DEALER
11687271595698142,Hyundai,I30,BGN,17900,56000,2014,true,true,2023-10-27,DEALER
