id,make,model,currency,price,millage,year,promoted,sold,created_on,,
11680600671914502,Citroen,C4,BGN,0,127000,2018,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11680600671914502&slink=s4maga,2023-04-24,DEALER
11663365239633579,Citroen,C4,BGN,0,161000,2015,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11663365239633579&slink=s4maga,2023-04-24,DEALER
21671808812015160,Daihatsu,Terios,BGN,10700,199000,2007,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21671808812015160&slink=s4maga,2023-04-24,DEALER
11675525996833039,Fiat,Doblo,BGN,6900,240000,2007,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11675525996833039&slink=s4maga,2023-04-24,DEALER
11670399990578368,Ford,C-max,BGN,8500,160000,2010,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11670399990578368&slink=s4maga,2023-04-24,DEALER
11679336065004692,Ford,Connect,BGN,7900,187000,2007,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11679336065004692&slink=s4maga,2023-04-24,DEALER
11673105596742058,Ford,Focus,BGN,6590,140000,2007,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11673105596742058&slink=s4maga,2023-04-24,DEALER
11682112372970902,Ford,Mondeo,BGN,10999,207213,2009,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11682112372970902&slink=s4maga,2023-04-24,DEALER
11682112372970902,Ford,Mondeo,BGN,10999,207213,2009,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11682112372970902&slink=s4maga,2023-04-24,DEALER
11670243156207768,Honda,Civic,BGN,6900,177943,2007,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11670243156207768&slink=s4maga,2023-04-24,DEALER
21680254323766750,Honda,Cr-v,BGN,10999,180000,2003,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21680254323766750&slink=s4maga,2023-04-24,DEALER
21681825848642032,Honda,Cr-v,BGN,17777,232527,2007,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21681825848642032&slink=s4maga,2023-04-24,DEALER
11610618633923099,Hyundai,I20,BGN,7999,164000,2013,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11610618633923099&slink=s4maga,2023-04-24,DEALER
11676409440897692,Hyundai,I30,BGN,8390,189000,2011,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11676409440897692&slink=s4maga,2023-04-24,DEALER
11681307781336385,Hyundai,I40,BGN,17700,230980,2012,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11681307781336385&slink=s4maga,2023-04-24,DEALER
21682111363248579,Hyundai,Santa,BGN,9500,189000,2008,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21682111363248579&slink=s4maga,2023-04-24,DEALER
