id,make,model,currency,price,millage,year,promoted,sold,created_on
11679559305917703,Chevrolet,Corvette,BGN,0,24000,2020,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11679559305917703&slink=s3gfw0,2023-04-19
11681725076531502,Chrysler,300c,BGN,12500,270000,2005,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11681725076531502&slink=s3gfw0,2023-04-19
21676535555089568,Dacia,Duster,BGN,25999,194000,2018,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21676535555089568&slink=s3gfw0,2023-04-19
11681235019535357,Ford,C-max,BGN,4799,147879,2010,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11681235019535357&slink=s3gfw0,2023-04-19
21681156389728731,Honda,Cr-v,BGN,10500,192000,2007,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21681156389728731&slink=s3gfw0,2023-04-19
21681156389728731,Honda,Cr-v,BGN,10500,192000,2007,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21681156389728731&slink=s3gfw0,2023-04-19
11679430391398188,Hyundai,I30,BGN,17777,149000,2013,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11679430391398188&slink=s3gfw0,2023-04-19
11679741994080604,Hyundai,Ix20,BGN,14000,165000,2011,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11679741994080604&slink=s3gfw0,2023-04-19
11679741994080604,Hyundai,Ix20,BGN,14000,165000,2011,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11679741994080604&slink=s3gfw0,2023-04-19
21675754367737954,Hyundai,Kona,BGN,53900,0,0,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21675754367737954&slink=s3gfw0,2023-04-19
21657784397502631,Jeep,Wrangler,BGN,0,4,7800,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21657784397502631&slink=s3gfw0,2023-04-19
11679516697801135,Kia,Ceed,BGN,14999,189000,2016,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11679516697801135&slink=s3gfw0,2023-04-19
21680891410478533,Lexus,NX,BGN,91540,17742,2020,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21680891410478533&slink=s3gfw0,2023-04-19
21677754234155706,Lincoln,Navigator,BGN,139000,11000,2022,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21677754234155706&slink=s3gfw0,2023-04-19
