id,make,model,price,promoted,sold,millage,year,currency,created_on,updated_on
11667989076295063,Toyota,C-HR,49780,false,true,879210,2016,BGN,1681308230,
21678925033519431,Audi,SQ7,116900,false,true,86000,2018,BGN,1681308145,
11655122392652024,Mitsubishi,ASX,14495,false,true,159802,2011,BGN,1681308212,
11526752361443656,Mercedes-Benz,C,4900,false,true,222395,2003,BGN,1681308193,
11677653178555064,Alfa,Romeo,7999,true,true,168000,2009,BGN,1681308095,
11677698294585646,Mercedes-Benz,C,8799,false,true,192060,2007,BGN,1681308193,
11680458196074531,Toyota,Yaris,16500,false,true,152400,2012,BGN,1681308247,
11651046462969175,BMW,116,8999,false,true,216000,2009,BGN,1681308145,
11669748158969924,Mercedes-Benz,E,8900,false,true,149000,2000,BGN,1681308197,
11637245438578675,Kia,K7,37999,false,true,49000,2018,BGN,1681308176,
11667116628702512,Peugeot,5008,15900,false,true,82634,2012,BGN,1681308217,
21679222717019612,Honda,Cr-v,30400,false,true,195552,2013,BGN,1681308163,
21489398140124591,BMW,X3,12780,false,true,168000,2008,BGN,1681308147,
21669320054766006,Great,Wall,0,false,true,97035,2017,BGN,1681308154,
11679088300827317,Mitsubishi,Lancer,0,false,true,248000,2009,BGN,1681308212,
11663582269973118,VW,Jetta,22500,false,true,112165,2017,BGN,1681308252,
11670340147099943,Skoda,Octavia,35500,false,true,168000,2018,BGN,1681308226,
21679248414164407,Mini,Countryman,20555,false,true,110000,2016,BGN,1681308212,
11680955777806533,Mercedes-Benz,C,42600,true,true,149500,2015,BGN,1681308094,
11680798742881707,Opel,Zafira,12800,true,true,186543,2013,BGN,1681308121,
21641479627301855,Nissan,Navara,93500,false,true,10,2021,BGN,1681308212,
11677930940491015,Mazda,6,7990,false,true,173531,2009,BGN,1681308185,
11678367751914451,Mercedes-Benz,E,31888,false,true,177850,2013,BGN,1681308197,
11670436455079112,Mercedes-Benz,E,0,false,true,290000,2007,BGN,1681308197,
11675421612009758,Mercedes-Benz,E,55999,false,true,200000,2018,BGN,1681308197,
11680724007450010,Rover,400,950,true,true,225608,1997,BGN,1681308121,
21677506690192842,Mercedes-Benz,GLK,25499,false,true,197300,2010,BGN,1681308206,
21677403243520012,Mazda,CX-7,12900,false,true,221539,2011,BGN,1681308185,
11678386046694988,Peugeot,3008,30990,false,true,160300,2017,BGN,1681308217,
11654784992959374,Ferrari,SF,540000,true,true,60,2022,EUR,1681308100,
11673441961596797,Honda,Civic,25500,true,true,85219,2017,BGN,1681308100,
11677827732196113,Mercedes-Benz,B,6750,false,true,1840135,2007,BGN,1681308193,
11677693143465955,Mercedes-Benz,C,5900,true,true,301637,2005,BGN,1681308111,
21676371077527656,Audi,Q7,75999,false,true,178000,2015,BGN,1681308145,
11678355011810796,Audi,A4,0,false,true,234000,2005,BGN,1681308139,
21680100025275701,Toyota,Rav4,88999,false,true,13728,2022,BGN,1681308240,
11677864056469816,Dacia,Logan,9500,false,true,259000,2014,BGN,1681308149,
