id,make,model,currency,price,millage,year,promoted,sold,created_on,dealer
21666463224225815,Mercedes-Benz,ML,BGN,19999,178000,2009,true,true,2023-04-24,DEALER
21678087382825518,Mercedes-Benz,ML,BGN,43500,182000,2013,true,true,2023-04-24,DEALER
21678087382825518,Mercedes-Benz,ML,BGN,43500,182000,2013,true,true,2023-04-24,DEALER
11680244515960688,Mini,Cooper,BGN,5500,164000,2003,true,true,2023-04-24,DEALER
11669733835687846,Mini,Cooper,BGN,54900,12720,2020,true,true,2023-04-24,DEALER
21681819117747711,Mitsubishi,ASX,BGN,18990,151000,2013,true,true,2023-04-24,DEALER
11642507772031600,Mitsubishi,Colt,BGN,5290,175000,2007,true,true,2023-04-24,DEALER
21680008762550361,Mitsubishi,Pajero,BGN,6899,191634,1996,true,true,2023-04-24,DEALER
21657457593426684,Nissan,Juke,BGN,15900,241000,2013,true,true,2023-04-24,DEALER
11661268233522488,Nissan,Leaf,BGN,21900,54000,2013,true,true,2023-04-24,DEALER
21679758923111425,Nissan,Qashqai,BGN,13299,236000,2011,true,true,2023-04-24,DEALER
21664869535897335,Nissan,Qashqai,BGN,19900,198000,2014,true,true,2023-04-24,DEALER
11672815384131886,Opel,Adam,BGN,11900,120000,2013,true,true,2023-04-24,DEALER
11668239044638300,Opel,Astra,BGN,5300,231000,2004,true,true,2023-04-24,DEALER
11677594972955683,Opel,Corsa,BGN,2777,213541,2003,true,true,2023-04-24,DEALER
11667802646848048,Opel,Corsa,BGN,4700,49000,2002,true,true,2023-04-24,DEALER
11681747055784575,Opel,Insignia,BGN,20900,110000,2016,true,true,2023-04-24,DEALER
21680699654886687,Opel,Mokka,BGN,17300,172000,2014,true,true,2023-04-24,DEALER
11681828238293563,Peugeot,206,BGN,3400,185000,2003,true,true,2023-04-24,DEALER
11673343352706631,Peugeot,308,BGN,9100,181525,2010,true,true,2023-04-24,DEALER
11679454272441646,Peugeot,308,BGN,0,168000,2018,true,true,2023-04-24,DEALER
11679755964892694,Seat,Ibiza,BGN,9299,109560,2013,true,true,2023-04-24,DEALER
11682082841941497,Seat,Ibiza,BGN,0,102000,2015,true,true,2023-04-24,DEALER
11682082841941497,Seat,Ibiza,BGN,0,102000,2015,true,true,2023-04-24,DEALER
11678377396259393,Seat,Leon,BGN,8499,198000,2008,true,true,2023-04-24,DEALER
11673252558273284,Skoda,Superb,BGN,6299,246000,2004,true,true,2023-04-24,DEALER
11676649659532065,Skoda,Superb,BGN,23000,168500,2015,true,true,2023-04-24,DEALER
11668448394240867,Smart,Fortwo,BGN,2800,135086,1999,true,true,2023-04-24,DEALER
11680592190575991,Subaru,XV,BGN,19900,189000,2013,true,true,2023-04-24,DEALER
11679642430861794,Toyota,Auris,BGN,10500,163000,2009,true,true,2023-04-24,DEALER
11680165376571741,Toyota,Auris,BGN,9490,199506,2009,true,true,2023-04-24,DEALER
11680379605288686,Toyota,bZ4X,BGN,107800,31,2023,true,true,2023-04-24,DEALER
21680422631219336,Toyota,Rav4,BGN,17900,228897,2010,true,true,2023-04-24,DEALER
21675870954269492,Toyota,Rav4,BGN,19900,147000,2010,true,true,2023-04-24,DEALER
21680416616731880,Toyota,Rav4,BGN,20400,187875,2010,true,true,2023-04-24,DEALER
11680533986340264,Toyota,Yaris,BGN,26600,65000,2019,true,true,2023-04-24,DEALER
21680000077426294,Volvo,XC60,BGN,29900,193000,2013,true,true,2023-04-24,DEALER
11681998879804057,VW,Golf,BGN,9990,142674,2008,true,true,2023-04-24,DEALER
11662964668048572,VW,Passat,BGN,28500,120070,2016,true,true,2023-04-24,DEALER
11678430537612830,VW,Passat,BGN,0,174000,2014,true,true,2023-04-24,DEALER
11666983235985783,VW,Polo,BGN,0,130331,2012,true,true,2023-04-24,DEALER
11674151982180348,VW,Touran,BGN,13500,197000,2012,true,true,2023-04-24,DEALER
11681748357222019,VW,Touran,BGN,13999,228000,2008,true,true,2023-04-24,DEALER
11663329936406358,Alfa,Romeo,BGN,8500,230000,2007,false,true,2023-04-24,DEALER
11663329936406358,Alfa,Romeo,BGN,8500,230000,2007,false,true,2023-04-24,DEALER
11681741309843833,Alfa,Romeo,BGN,50000,57600,2020,false,true,2023-04-24,DEALER
11680793603412536,Audi,A3,BGN,6900,173700,2005,false,true,2023-04-24,DEALER
